DersKodu;DersAdi;DersiVeren;DersUzunluk;AKTS;OgrSayisi;AcildigiProgram;Donem
INM-304-50-50;Zemin Mekaniði II;Doç.Dr. Semet ÇELÝK;3;5;60;Ýnþaat Mühendisliði Programý;6
IM-306-50-50;Demiryolu ve Toprak Ýþleri;Doç.Dr. Osman Ünsal BAYRAK;3;NULL;1;Ýnþaat Mühendisliði Programý;6
INM-306-50-50;Demiryolu ve Toprak Ýþleri;Doç.Dr. Osman Ünsal BAYRAK;4;5;65;Ýnþaat Mühendisliði Programý;6
INM-204-50-50;Topoðrafya;Doç.Dr. Mahmut KILIÇ;3;4;48;Ýnþaat Mühendisliði Programý;4
IM-206-50-50-KREDÝ;Akýþkanlar Mekaniði;NULL;3;5;0;Ýnþaat Mühendisliði Programý;4
INM-206-50-50-AKTSb;Akýþkanlar Mekaniði;Dr. Öðr. Üyesi Selim ÞENGÜL;3;5;59;Ýnþaat Mühendisliði Programý;4
MUH-SAY-50-50;Sayýsal Yöntemler;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;54;Ýnþaat Mühendisliði Programý;4
INM-106-50-50;Bilgisayar Destekli Teknik Resim;Dr. Öðr. Üyesi Ahmet ATALAY;3;4;50;Ýnþaat Mühendisliði Programý;2
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MF-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-elek;Bilim Tarihi;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
MUH-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði Programý;8
IMS-202-50-50-KREDÝ;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;4;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
IMS-202-50-50-kredi;Yapýlarýn Yalýtým ve Korunmasý;NULL;3;4;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
INS-202-50-50-AKTS;Ulaþtýrma Planlamasýna Giriþ;Prof.Dr. Ahmet TORTUM;3;4;12;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
ÝNS-202-50-50-AKTS;Yapýlarýn Yalýtým ve Korunmasý;Dr. Öðr. Üyesi Fatma KARAGÖL;3;4;15;Ýnþaat Mühendisliði (Ý.Ö.) Programý;4
MF-USS-50-mak;Giriþimcilik II;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
IMS-402-50-50-KREDÝ;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;7;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
IMS-402-50-50-KREDÝ;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;6;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
MF-USS-50-elek;Dijital Okuryazarlýk;NULL;2;3;0;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
INS-402-50-50-AKTS;Hasar Gören Yapýlarýn Güçlendirilmesi;Prof.Dr. Abdulkadir Cüneyt AYDIN;3;4;6;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
INS-402-50-50-AKTS;Özel Betonlar;Doç.Dr. Meral OLTULU;3;4;8;Ýnþaat Mühendisliði (Ý.Ö.) Programý;8
